,target,params
49,-0.19712148880000124,"{'colsample_bytree': 0.5542641832800754, 'learning_rate': 0.02032641404404316, 'max_depth': 4.244160240594621, 'n_estimators': 864.4164584604746}"
50,-0.19932094293415936,"{'colsample_bytree': 0.1980760470115458, 'learning_rate': 0.1043022509540123, 'max_depth': 5.971969957417054, 'n_estimators': 177.49752023564406}"
51,-0.2993675244261455,"{'colsample_bytree': 0.7054537044178816, 'learning_rate': 0.09687093119406369, 'max_depth': 5.382208792047645, 'n_estimators': 864.8730369348906}"
52,-0.2002887943256435,"{'colsample_bytree': 0.46593771873384315, 'learning_rate': 0.09927749866403424, 'max_depth': 4.475446535395581, 'n_estimators': 176.0474389096255}"
53,-0.3257648766776942,"{'colsample_bytree': 0.9699234560989369, 'learning_rate': 0.14257605468647402, 'max_depth': 2.7958538632133467, 'n_estimators': 864.8902815115796}"
54,-0.2806408114873459,"{'colsample_bytree': 0.5292762954738729, 'learning_rate': 0.09192284402719396, 'max_depth': 3.402762858713989, 'n_estimators': 857.7323670282752}"
55,-0.23172261500321487,"{'colsample_bytree': 0.402966567419451, 'learning_rate': 0.15230497638507573, 'max_depth': 3.6012928351145983, 'n_estimators': 177.06460724061617}"
56,-0.32962580775227285,"{'colsample_bytree': 0.15973107874523967, 'learning_rate': 0.15217228068932998, 'max_depth': 3.1160804112097225, 'n_estimators': 859.3930114044463}"
57,-0.3687115510540434,"{'colsample_bytree': 0.7803678418265357, 'learning_rate': 0.13812511267585573, 'max_depth': 1.64901604356574, 'n_estimators': 5965.007072363157}"
58,-0.24028724344729208,"{'colsample_bytree': 0.7085193389228792, 'learning_rate': 0.04397688602958389, 'max_depth': 3.642255096384822, 'n_estimators': 864.6750856085118}"
59,-0.31325525804243515,"{'colsample_bytree': 0.904196152593769, 'learning_rate': 0.12362636832853276, 'max_depth': 3.4058660063089032, 'n_estimators': 863.8855642082173}"
60,-0.16284555248656885,"{'colsample_bytree': 0.38551493905235634, 'learning_rate': 0.033145710366575584, 'max_depth': 7.234369798695784, 'n_estimators': 178.06076947265285}"
61,-0.22305927246646778,"{'colsample_bytree': 0.8827919888751956, 'learning_rate': 0.13983944427181924, 'max_depth': 6.239007376322479, 'n_estimators': 178.518163054996}"
62,-0.2198361580897467,"{'colsample_bytree': 0.8443773199981977, 'learning_rate': 0.14401279418460228, 'max_depth': 6.115417263014908, 'n_estimators': 176.3009638388816}"
63,-0.22670976408044763,"{'colsample_bytree': 0.7038377864722356, 'learning_rate': 0.15426938336425022, 'max_depth': 4.133444349619646, 'n_estimators': 176.68944289086312}"
64,-0.19268659485719536,"{'colsample_bytree': 0.18785404311464998, 'learning_rate': 0.09707544001235315, 'max_depth': 6.072303524955193, 'n_estimators': 176.70990534022232}"
65,-0.16568370946101257,"{'colsample_bytree': 0.1914893347948471, 'learning_rate': 0.044580261239809085, 'max_depth': 7.5678392265881325, 'n_estimators': 174.65663752052927}"
66,-0.22810652657961034,"{'colsample_bytree': 0.6721666170262024, 'learning_rate': 0.17273299990523983, 'max_depth': 7.735474757305116, 'n_estimators': 174.57306380564165}"
67,-0.1905407211554425,"{'colsample_bytree': 0.4190516394511601, 'learning_rate': 0.08841204435941613, 'max_depth': 6.790344304115656, 'n_estimators': 173.35770555024175}"
68,-0.21471632975693972,"{'colsample_bytree': 0.1578972358167944, 'learning_rate': 0.133340690559158, 'max_depth': 6.8640476251893165, 'n_estimators': 174.21732408133934}"
69,-0.2230322623428636,"{'colsample_bytree': 0.6291964560471365, 'learning_rate': 0.16642863073538486, 'max_depth': 7.132863932059306, 'n_estimators': 175.07881571232727}"
70,-0.20997357495526886,"{'colsample_bytree': 0.6522199871407535, 'learning_rate': 0.1149529839840734, 'max_depth': 4.458855599036081, 'n_estimators': 178.3617454397545}"
71,-0.18129311432113196,"{'colsample_bytree': 0.9362682698807211, 'learning_rate': 0.07416594571097554, 'max_depth': 4.590752691347314, 'n_estimators': 177.2119511361658}"
72,-0.21910204818492876,"{'colsample_bytree': 0.9641623893401938, 'learning_rate': 0.1359892126662143, 'max_depth': 5.989018998321979, 'n_estimators': 172.8674119217485}"
73,-0.21769512514572456,"{'colsample_bytree': 0.5043859832879748, 'learning_rate': 0.13769164394610592, 'max_depth': 5.99960605695944, 'n_estimators': 174.2457880114913}"
74,-0.1816572730197291,"{'colsample_bytree': 0.6007484038672672, 'learning_rate': 0.06739187919392782, 'max_depth': 3.487977924658002, 'n_estimators': 180.0498551355563}"
75,-0.16489385383092064,"{'colsample_bytree': 0.880696808275354, 'learning_rate': 0.03324573722819312, 'max_depth': 2.9855250385442007, 'n_estimators': 178.98018772225348}"
76,-0.19946709356354297,"{'colsample_bytree': 0.24347202347895405, 'learning_rate': 0.09843529521320853, 'max_depth': 7.172256683053078, 'n_estimators': 177.06860379306877}"
