,target,params
88,-1.1298750872429004,"{'colsample_bytree': 0.11345075821748049, 'learning_rate': 0.19081737668432316, 'max_depth': 4.330946456598884, 'n_estimators': 909.6538400608329}"
89,-0.6230537242258998,"{'colsample_bytree': 0.9145968552829662, 'learning_rate': 0.012475769479514714, 'max_depth': 5.536899745086093, 'n_estimators': 1042.444085229362}"
90,-0.9356702341202083,"{'colsample_bytree': 0.1921040598097683, 'learning_rate': 0.12636441845747864, 'max_depth': 8.717993437915439, 'n_estimators': 427.79560015887307}"
91,-0.7534862007783669,"{'colsample_bytree': 0.18862383681915623, 'learning_rate': 0.06078103608763719, 'max_depth': 7.165089928164875, 'n_estimators': 425.37448395971666}"
92,-0.575384697332116,"{'colsample_bytree': 0.9178903399198785, 'learning_rate': 0.017693836392002844, 'max_depth': 8.208134906041636, 'n_estimators': 425.76003343539486}"
93,-1.08792075690147,"{'colsample_bytree': 0.19579457036338638, 'learning_rate': 0.12200218708728161, 'max_depth': 8.297201769599319, 'n_estimators': 1042.9215247942377}"
94,-1.0726558303664269,"{'colsample_bytree': 0.8775726184387868, 'learning_rate': 0.11461432916366189, 'max_depth': 3.5537808621520295, 'n_estimators': 1042.6944254544378}"
95,-0.6448305228380679,"{'colsample_bytree': 0.21225918748282457, 'learning_rate': 0.03579732032179713, 'max_depth': 7.452254003117986, 'n_estimators': 426.5388590858836}"
96,-0.8376688162541142,"{'colsample_bytree': 0.8406066650573296, 'learning_rate': 0.08360469018228461, 'max_depth': 8.386186654437752, 'n_estimators': 425.75609742462103}"
97,-1.174668602660433,"{'colsample_bytree': 0.920082451438536, 'learning_rate': 0.1788499914740782, 'max_depth': 4.271604242852224, 'n_estimators': 18277.5750543829}"
98,-0.95253455998419,"{'colsample_bytree': 0.39725204085668475, 'learning_rate': 0.05857972354384296, 'max_depth': 6.5412650357834385, 'n_estimators': 1043.4084953590987}"
99,-1.1746686030354963,"{'colsample_bytree': 0.19751664850076425, 'learning_rate': 0.12142068321722814, 'max_depth': 4.8179855446696855, 'n_estimators': 15897.098947265888}"
100,-1.173809426125694,"{'colsample_bytree': 0.5564416464011679, 'learning_rate': 0.10937840622002651, 'max_depth': 9.187190811763088, 'n_estimators': 5139.915314091862}"
101,-1.0108017371209983,"{'colsample_bytree': 0.28133384733666805, 'learning_rate': 0.13359079896039175, 'max_depth': 1.032242858336223, 'n_estimators': 5311.061590689916}"
102,-0.9038013719007413,"{'colsample_bytree': 0.8594872244355777, 'learning_rate': 0.11289495892521803, 'max_depth': 6.679103495703344, 'n_estimators': 424.70084720973415}"
103,-0.9503468566024423,"{'colsample_bytree': 0.7876203864276283, 'learning_rate': 0.13571464598459074, 'max_depth': 8.733427276272804, 'n_estimators': 427.62615877460416}"
104,-1.1703563036036777,"{'colsample_bytree': 0.2941767275239497, 'learning_rate': 0.1458180065266454, 'max_depth': 4.452149509086027, 'n_estimators': 2700.793292503176}"
105,-0.9248061253969766,"{'colsample_bytree': 0.8821884216615964, 'learning_rate': 0.15789244136987216, 'max_depth': 8.106750198800967, 'n_estimators': 323.7393600023708}"
106,-0.8663660852832351,"{'colsample_bytree': 0.3350087574372026, 'learning_rate': 0.0935396755374631, 'max_depth': 9.563293651944257, 'n_estimators': 426.7445649273978}"
107,-0.5998089120524854,"{'colsample_bytree': 0.5741860457389849, 'learning_rate': 0.024823989807834915, 'max_depth': 9.466263839977056, 'n_estimators': 426.2760901521408}"
108,-1.174663848756178,"{'colsample_bytree': 0.17211704947966672, 'learning_rate': 0.16860577631220972, 'max_depth': 1.5265994296746697, 'n_estimators': 8678.733111705595}"
109,-1.1746686016323515,"{'colsample_bytree': 0.28695583344274656, 'learning_rate': 0.16471993233691984, 'max_depth': 5.772480830521215, 'n_estimators': 13144.629043443865}"
