iter	Passed	Remaining
687	1347325	4527641
688	1349231	4525507
689	1351064	4523129
690	1353078	4521357
691	1355112	4519651
692	1357009	4517491
693	1359063	4515851
694	1360952	4513661
695	1362868	4511564
696	1364756	4509375
697	1366959	4508223
698	1369046	4506690
699	1370968	4504610
700	1372888	4502527
701	1374736	4500206
702	1376798	4498585
703	1378771	4496676
704	1380721	4494688
705	1382817	4493178
706	1384719	4491033
707	1386707	4489173
708	1388564	4486886
709	1390458	4484717
710	1392296	4482373
711	1394160	4480112
712	1396039	4477900
713	1397833	4475418
714	1399764	4473372
715	1402053	4472473
716	1404057	4470661
717	1405831	4468116
718	1407588	4465521
719	1409780	4464304
720	1411824	4462618
721	1413773	4460633
722	1415600	4458259
723	1417801	4457066
724	1419716	4454971
725	1421561	4452658
726	1423247	4449851
727	1425130	4447659
728	1427284	4446313
729	1429757	4445957
730	1432057	4445058
731	1434308	4444005
732	1436428	4442542
733	1438487	4440889
734	1440674	4439629
735	1442571	4437475
736	1444365	4435004
737	1446187	4432623
738	1448146	4430660
739	1450375	4429526
740	1452330	4427550
741	1454406	4425943
742	1456596	4424681
743	1458651	4423008
744	1460514	4420752
745	1462460	4418748
746	1464507	4417049
747	1466492	4415162
748	1468420	4413103
749	1470530	4411591
750	1472316	4409107
751	1474098	4406614
752	1476174	4404998
753	1478323	4403601
754	1480361	4401870
755	1482114	4399292
756	1484106	4397425
757	1487107	4398542
758	1489180	4396908
759	1491273	4395332
760	1493116	4393018
761	1495020	4390885
762	1497082	4389218
763	1499079	4387359
764	1500954	4385142
765	1503033	4383521
766	1504974	4381497
767	1507046	4379852
768	1509079	4378097
769	1510892	4375701
770	1512841	4373701
771	1514808	4371753
772	1516670	4369502
773	1518340	4366699
774	1520346	4364865
775	1522161	4362484
776	1523885	4359842
777	1525702	4357469
778	1527630	4355413
779	1529487	4353157
780	1531336	4350878
781	1533078	4348298
782	1534900	4345943
783	1536755	4343685
784	1538406	4340853
785	1540114	4338186
786	1541847	4335588
