iter	Passed	Remaining
604	3651	8419
605	3659	8417
606	3666	8413
607	3673	8409
608	3681	8408
609	3685	8397
610	3693	8396
611	3700	8393
612	3708	8391
613	3716	8389
614	3725	8389
615	3733	8387
616	3736	8375
617	3749	8383
618	3757	8382
619	3760	8370
620	3770	8372
621	3777	8368
622	3786	8368
623	3787	8352
624	3795	8349
625	3802	8345
626	3810	8344
627	3816	8338
628	3823	8334
629	3830	8330
630	3839	8329
631	3846	8325
632	3847	8309
633	3853	8303
634	3860	8298
635	3868	8296
636	3875	8291
637	3884	8292
638	3891	8288
639	3899	8285
640	3905	8280
641	3915	8281
642	3916	8265
643	3925	8264
644	3927	8250
645	3928	8233
646	3936	8231
647	3943	8228
648	3950	8223
649	3958	8221
650	3965	8216
651	3972	8213
652	3979	8209
653	3987	8207
654	3997	8208
655	4005	8207
656	4006	8190
657	4013	8185
658	4021	8183
659	4022	8166
660	4051	8207
661	4059	8204
662	4067	8202
663	4074	8198
664	4082	8195
665	4086	8186
666	4088	8171
667	4096	8168
668	4098	8155
669	4101	8141
670	4107	8134
671	4110	8122
672	4112	8109
673	4123	8112
674	4133	8114
675	4144	8117
676	4155	8120
677	4163	8117
678	4171	8114
679	4179	8113
680	4187	8110
681	4188	8095
682	4190	8080
683	4195	8071
684	4204	8071
685	4211	8067
686	4219	8064
687	4227	8061
688	4235	8058
689	4243	8055
690	4252	8056
691	4256	8045
692	4262	8039
693	4268	8033
694	4276	8029
695	4284	8026
696	4290	8021
697	4299	8020
698	4307	8017
699	4316	8016
700	4321	8008
701	4323	7993
702	4334	7996
703	4343	7996
704	4351	7993
705	4360	7992
706	4361	7977
707	4370	7975
708	4379	7973
709	4388	7973
710	4399	7975
711	4407	7972
712	4415	7970
713	4425	7970
714	4434	7970
715	4445	7971
716	4454	7971
717	4456	7957
718	4465	7955
719	4473	7953
720	4484	7954
721	4485	7939
722	4488	7927
723	4497	7926
724	4506	7925
725	4508	7911
726	4516	7909
727	4524	7906
728	4532	7902
729	4533	7887
730	4542	7884
731	4550	7883
732	4551	7867
733	4560	7866
734	4569	7864
735	4578	7863
736	4588	7863
737	4589	7848
738	4599	7848
739	4609	7847
740	4618	7847
741	4627	7846
742	4638	7847
743	4646	7844
744	4648	7830
745	4649	7815
746	4658	7813
747	4667	7811
748	4674	7807
749	4682	7804
750	4684	7790
751	4693	7788
752	4702	7787
753	4715	7791
754	4722	7787
755	4724	7773
756	4733	7772
757	4736	7760
758	4744	7757
759	4752	7754
760	4760	7751
761	4768	7747
762	4776	7744
763	4785	7741
764	4794	7740
765	4804	7739
766	4806	7727
767	4814	7722
768	4821	7717
769	4829	7713
770	4838	7712
771	4847	7710
772	4856	7709
773	4864	7705
774	4872	7701
775	4880	7698
776	4888	7694
777	4890	7681
778	4896	7674
779	4899	7662
780	4907	7659
781	4908	7645
782	4909	7630
783	4910	7615
784	4918	7612
785	4920	7600
786	4931	7600
787	4939	7597
788	4948	7595
789	4957	7592
790	4966	7590
791	4969	7580
792	4978	7578
793	4986	7574
794	4995	7571
795	5004	7569
796	5013	7566
797	5022	7564
798	5024	7552
799	5029	7543
800	5038	7542
801	5047	7540
